District,Year,Total Income
BARGARH,2023,7509.634758
BARGARH,2024,16109.53653
BARGARH,2025,12848.61205
BARMER,2014,11369.28397
BARMER,2015,8256.025471
BARMER,2016,7942.4292
BARMER,2017,9480.049819
BARMER,2018,13298.7167
BARMER,2019,13000.71687
BARMER,2020,14135.85086
BARMER,2021,12031.05095
BARMER,2022,4031.107085
BARMER,2023,6267.005945
BARMER,2024,13058.8051
BARMER,2025,-99.0
BARNALA,2014,24729.27669
BARNALA,2015,19219.01898
BARNALA,2016,15504.62456
BARNALA,2017,30960.3714
BARNALA,2018,41382.35442
BARNALA,2019,39178.91458
BARNALA,2020,20532.58599
BARNALA,2021,26799.3807
BARNALA,2022,29617.56347
BARNALA,2023,31097.10089
BARNALA,2024,23476.11805
BARNALA,2025,49328.81556
BARWANI,2014,5003.036788
BARWANI,2015,8464.232923
BARWANI,2016,7636.951755
BARWANI,2017,9168.731857
BARWANI,2018,13576.12766
BARWANI,2019,13929.38962
BARWANI,2020,12201.50939
BARWANI,2021,16584.88393
BARWANI,2022,20454.21181
BARWANI,2023,9151.172475
BARWANI,2024,12813.07231
BARWANI,2025,7787.063331
BASTAR,2014,5333.109102
BASTAR,2015,613.9012225
BASTAR,2016,1818.774801
BASTAR,2017,-99.0
BASTAR,2023,3608.354692
BASTAR,2024,6531.781592
BASTAR,2025,14029.9845
BASTI,2014,11133.74052
BASTI,2015,9928.079413
BASTI,2016,10779.24195
BASTI,2017,14087.19578
BASTI,2018,14599.64101
BASTI,2019,14898.78507
BASTI,2020,13996.40115
BASTI,2021,16960.17914
BASTI,2022,17252.76829
BASTI,2023,16118.89411
BASTI,2024,22610.69872
BASTI,2025,30448.10247
BATHINDA,2014,21163.65363
BATHINDA,2015,18885.63117
BATHINDA,2016,14423.67554
BATHINDA,2017,32540.39596
BATHINDA,2018,42235.2398
BATHINDA,2019,47262.11021
BATHINDA,2020,27350.13896
BATHINDA,2021,31458.16059
BATHINDA,2022,29458.59857
BATHINDA,2023,35787.6362
BATHINDA,2024,34097.32534
BATHINDA,2025,41440.75624
BEGUSARAI,2014,9147.835726
BEGUSARAI,2015,9866.025987
BEGUSARAI,2016,9591.168634
BEGUSARAI,2017,10584.61159
BEGUSARAI,2018,13428.38124
BEGUSARAI,2019,10589.97223
BEGUSARAI,2020,6353.080034
BEGUSARAI,2021,9192.968992
BEGUSARAI,2022,8217.365367
BEGUSARAI,2023,10159.49993
BEGUSARAI,2024,12729.89948
BEGUSARAI,2025,16937.45722
BELGAUM,2014,10559.64878
BELGAUM,2015,9430.706995
BELGAUM,2016,10142.21801
BELGAUM,2017,12012.28142
BELGAUM,2018,15162.96033
BELGAUM,2019,11395.91454
BELGAUM,2020,11013.34316
BELGAUM,2021,10297.75922
BELGAUM,2022,13211.52077
BELGAUM,2023,19542.62875
BELGAUM,2024,15076.64767
BELGAUM,2025,22288.09061
BELLARY,2014,7720.949764
BELLARY,2015,6821.53818
BELLARY,2016,7860.045402
BELLARY,2017,7789.660075
BELLARY,2018,8675.328378
BELLARY,2019,8984.035239
BELLARY,2020,6759.575879
BELLARY,2021,10379.31755
BELLARY,2022,14403.88207
BELLARY,2023,8921.241604
BELLARY,2024,9939.549068
BELLARY,2025,18109.33587
BETUL,2014,5454.216851
BETUL,2015,5904.199162
BETUL,2016,5609.49641
BETUL,2017,7856.282204
BETUL,2018,9957.699969
BETUL,2019,9462.877367
BETUL,2020,9680.835838
BETUL,2021,11250.48702
BETUL,2022,12368.9318
BETUL,2023,6426.276368
BETUL,2024,11135.62655
BETUL,2025,1502.435222
BHADRAK,2017,3183.264964
BHADRAK,2018,7553.224071
BHADRAK,2019,7937.191164
BHADRAK,2020,2697.776617
BHADRAK,2021,2424.66729
BHADRAK,2022,2863.804858
BHADRAK,2023,7702.388631
BHADRAK,2024,11559.03095
BHADRAK,2025,1655.498783
BHAGALPUR,2014,11826.47728
BHAGALPUR,2015,10198.15083
BHAGALPUR,2016,8679.671428
BHAGALPUR,2017,8593.836238
BHAGALPUR,2018,11460.01043
BHAGALPUR,2019,9714.441875
BHAGALPUR,2020,4964.282897
BHAGALPUR,2021,7176.199767
BHAGALPUR,2022,7487.853358
BHAGALPUR,2023,4611.09273
BHAGALPUR,2024,7922.757741
BHAGALPUR,2025,10566.03076
BHANDARA,2014,19360.67435
BHANDARA,2015,19171.4131
BHANDARA,2016,19065.13033
BHANDARA,2017,22569.75696
BHANDARA,2018,17835.39869
BHANDARA,2019,19562.76359
BHANDARA,2020,13279.73118
BHANDARA,2021,20698.62073
BHANDARA,2022,18778.95944
BHANDARA,2023,26026.40913
BHANDARA,2024,35494.30077
BHANDARA,2025,44524.70565
BHARATPUR,2014,11669.429
BHARATPUR,2015,9646.762518
BHARATPUR,2016,13489.82214
BHARATPUR,2017,12040.88921
BHARATPUR,2018,17300.26072
BHARATPUR,2019,15910.39964
BHARATPUR,2020,11732.42259
BHARATPUR,2021,13765.05625
BHARATPUR,2022,15915.3436
BHARATPUR,2023,22547.6141
BHARATPUR,2024,29747.08766
BHARATPUR,2025,29371.78957
BHARUCH,2014,8640.85136
BHARUCH,2015,7975.271509
BHARUCH,2016,6143.442456
BHARUCH,2017,10305.85045
BHARUCH,2018,11697.17998
BHARUCH,2019,12634.4143
BHARUCH,2020,6478.857906
BHARUCH,2021,8409.622263
BHARUCH,2022,9867.313052
BHARUCH,2023,5286.837051
BHARUCH,2024,8007.494819
BHARUCH,2025,-99.0
BHAVNAGAR,2014,9780.820877
BHAVNAGAR,2015,9441.609922
BHAVNAGAR,2016,8294.604537
BHAVNAGAR,2017,11628.58771
BHAVNAGAR,2018,17539.96053
BHAVNAGAR,2019,23712.53371
BHAVNAGAR,2020,7040.931619
BHAVNAGAR,2021,19363.37031
BHAVNAGAR,2022,12870.27441
BHAVNAGAR,2023,6850.6982
BHAVNAGAR,2024,2509.752369
BHAVNAGAR,2025,5406.940305
BHILWARA,2014,15902.39874
BHILWARA,2015,14734.89151
BHILWARA,2016,14893.25671
BHILWARA,2017,15157.15378
BHILWARA,2018,26917.73843
BHILWARA,2019,25399.85873
BHILWARA,2020,16087.38395
BHILWARA,2021,14785.53463
BHILWARA,2022,19678.14496
BHILWARA,2023,18837.40918
BHILWARA,2024,24946.32306
BHILWARA,2025,37047.57285
BHIWANI,2014,16981.83951
BHIWANI,2015,15831.7433
BHIWANI,2016,17711.09642
BHIWANI,2017,20290.83899
BHIWANI,2018,27370.03985
BHIWANI,2019,55067.12193
BHIWANI,2020,43309.45297
BHIWANI,2021,49575.87082
BHIWANI,2022,60589.72719
BHIWANI,2023,69057.58255
BHIWANI,2024,48942.20185
BHIWANI,2025,53003.18599
BHOJPUR,2014,12505.32926
BHOJPUR,2015,10492.77934
BHOJPUR,2016,11030.6014
BHOJPUR,2017,11906.16211
BHOJPUR,2018,13690.18699
BHOJPUR,2019,14559.77221
BHOJPUR,2020,13992.98931
BHOJPUR,2021,15317.9661
BHOJPUR,2022,14387.70278
BHOJPUR,2023,8415.636646
BHOJPUR,2024,18949.8714
