District,Year,ADJ_TOT_EXP
BID,2019,61140605
BID,2020,35579112
BID,2021,35811202
BID,2022,39687327
BID,2023,25675970
BID,2024,43252240
BID,2025,18002010
BIDAR,2017,608509
BIDAR,2018,8339333
BIDAR,2019,7980744
BIDAR,2020,1484978
BIDAR,2021,354384
BIDAR,2022,4575216
BIDAR,2023,1016093
BIDAR,2024,530833
BIDAR,2025,-25344
BIJAPUR,2014,10137470
BIJAPUR,2015,8714538
BIJAPUR,2016,8628761
BIJAPUR,2017,12475841
BIJAPUR,2018,14494218
BIJAPUR,2019,9246576
BIJAPUR,2020,3852478
BIJAPUR,2021,7826037
BIJAPUR,2022,12425700
BIJAPUR,2023,15184919
BIJAPUR,2024,6682172
BIJAPUR,2025,2774738
BIJNOR,2014,45201988
BIJNOR,2015,50166704
BIJNOR,2016,44641013
BIJNOR,2017,46467420
BIJNOR,2018,47543431
BIJNOR,2019,41784736
BIJNOR,2020,27537367
BIJNOR,2021,27564247
BIJNOR,2022,36345331
BIJNOR,2023,31943762
BIJNOR,2024,18016554
BIJNOR,2025,6574568
BIKANER,2017,-15840
BIKANER,2018,2792585
BIKANER,2019,7303216
BIKANER,2020,1721172
BIKANER,2021,3278424
BIKANER,2022,-114048
BIKANER,2023,1658703
BIKANER,2024,12117313
BIKANER,2025,-57024
BILASPUR,2014,19264368
BILASPUR,2015,24868421
BILASPUR,2016,21953648
BILASPUR,2017,24003454
BILASPUR,2018,34857141
BILASPUR,2019,37163065
BILASPUR,2020,21476656
BILASPUR,2021,37461902
BILASPUR,2022,45202769
BILASPUR,2023,39970208
BILASPUR,2024,42252640
BILASPUR,2025,16692535
BIRBHUM,2014,12883958
BIRBHUM,2015,14717009
BIRBHUM,2016,14248140
BIRBHUM,2017,13578688
BIRBHUM,2018,15009365
BIRBHUM,2019,19594961
BIRBHUM,2020,5301766
BIRBHUM,2021,3055889
BIRBHUM,2022,1260878
BIRBHUM,2023,5341735
BIRBHUM,2024,14593801
BIRBHUM,2025,10174800
BOKARO,2014,11603124
BOKARO,2015,17550286
BOKARO,2016,20865421
