District,Year,asset_index_0_1
JHUNJHUNUN,2018,0.397724272
JHUNJHUNUN,2019,0.418504414
JHUNJHUNUN,2020,0.440642256
JHUNJHUNUN,2021,0.4485905
JHUNJHUNUN,2022,0.491918839
JHUNJHUNUN,2023,0.527564026
JHUNJHUNUN,2024,0.628458913
JHUNJHUNUN,2025,0.642805345
JODHPUR,2014,0.319625019
JODHPUR,2015,0.333064548
JODHPUR,2016,0.330855545
JODHPUR,2017,0.385268803
JODHPUR,2018,0.467394688
JODHPUR,2019,0.486702153
JODHPUR,2020,0.433907616
JODHPUR,2021,0.460391128
JODHPUR,2022,0.44257358
JODHPUR,2023,0.508678753
JODHPUR,2024,0.670479499
JODHPUR,2025,0.818975228
KARAULI,2017,0.346875915
KARAULI,2018,0.385740083
KARAULI,2019,0.407436288
KARAULI,2020,0.398040631
KARAULI,2021,0.404186689
KARAULI,2022,0.388040708
KARAULI,2023,0.432658666
KARAULI,2024,0.631405736
KARAULI,2025,0.596407429
KOTA,2014,0.339754421
KOTA,2015,0.372243767
KOTA,2016,0.390198929
KOTA,2017,0.482647527
KOTA,2018,0.523322367
KOTA,2019,0.574880198
KOTA,2020,0.531863261
KOTA,2021,0.511053961
KOTA,2022,0.532688673
KOTA,2023,0.656233979
KOTA,2024,0.709022191
KOTA,2025,0.859559
NAGAUR,2014,0.256339893
NAGAUR,2015,0.305017971
NAGAUR,2016,0.296831185
NAGAUR,2017,0.431259044
NAGAUR,2018,0.43563349
NAGAUR,2019,0.435884126
NAGAUR,2020,0.399610936
NAGAUR,2021,0.410450196
NAGAUR,2022,0.405070672
NAGAUR,2023,0.387084109
NAGAUR,2024,0.49401435
NAGAUR,2025,0.845781186
PALI,2014,0.227526407
PALI,2015,0.290879367
PALI,2016,0.29100837
PALI,2017,0.358618237
PALI,2018,0.405398391
PALI,2019,0.426906275
PALI,2020,0.399086118
PALI,2021,0.379900831
PALI,2022,0.395330425
PALI,2023,0.45766128
PALI,2024,0.706064224
PALI,2025,0.531487013
PRATAPGARH,2014,0.077916187
PRATAPGARH,2015,0.094310197
PRATAPGARH,2016,0.13023566
PRATAPGARH,2017,0.369765083
PRATAPGARH,2018,0.387949676
PRATAPGARH,2019,0.40873331
PRATAPGARH,2020,0.376206789
PRATAPGARH,2021,0.407882687
PRATAPGARH,2022,0.390612027
PRATAPGARH,2023,0.391718462
PRATAPGARH,2025,0.343049652
RAJSAMAND,2014,0.343643386
RAJSAMAND,2015,0.390799043
RAJSAMAND,2016,0.422494345
RAJSAMAND,2017,0.47594701
RAJSAMAND,2018,0.445153053
RAJSAMAND,2019,0.455507035
RAJSAMAND,2020,0.40391638
RAJSAMAND,2021,0.470026003
RAJSAMAND,2022,0.491012795
RAJSAMAND,2023,0.486576021
RAJSAMAND,2024,0.674891072
RAJSAMAND,2025,0.785881392
SAWAI MADHOPUR,2014,0.190370461
SAWAI MADHOPUR,2015,0.300893254
SAWAI MADHOPUR,2016,0.318604084
SAWAI MADHOPUR,2017,0.364000385
SAWAI MADHOPUR,2018,0.380012247
SAWAI MADHOPUR,2019,0.406879636
SAWAI MADHOPUR,2020,0.395746699
SAWAI MADHOPUR,2021,0.395738442
SAWAI MADHOPUR,2022,0.401429451
SAWAI MADHOPUR,2023,0.474059676
SAWAI MADHOPUR,2024,0.754126308
SAWAI MADHOPUR,2025,0.774541277
SIKAR,2014,0.386617967
SIKAR,2015,0.422477946
SIKAR,2016,0.418668982
SIKAR,2017,0.354998248
SIKAR,2018,0.368712695
SIKAR,2019,0.39018615
SIKAR,2020,0.419816358
SIKAR,2021,0.438938793
SIKAR,2022,0.478178846
SIKAR,2023,0.513589786
SIKAR,2024,0.576521492
SIKAR,2025,0.669625791
SIROHI,2014,0.127370524
SIROHI,2015,0.125886152
SIROHI,2016,0.127370524
SIROHI,2017,0.127023808
SIROHI,2018,0.127370524
SIROHI,2019,0.116461686
SIROHI,2025,0.335719123
TONK,2014,0.238328659
TONK,2015,0.294368563
TONK,2016,0.298774324
TONK,2017,0.297613017
TONK,2018,0.341556227
TONK,2019,0.352362422
TONK,2020,0.359869192
TONK,2021,0.390357322
TONK,2023,0.42891372
TONK,2024,0.724910901
TONK,2025,0.438640104
UDAIPUR,2014,0.192921003
UDAIPUR,2015,0.239678491
UDAIPUR,2016,0.248884129
UDAIPUR,2017,0.363144095
UDAIPUR,2018,0.415724193
UDAIPUR,2019,0.438860515
UDAIPUR,2020,0.419431801
UDAIPUR,2021,0.45208345
UDAIPUR,2022,0.42162129
UDAIPUR,2023,0.426314927
UDAIPUR,2024,0.624221732
UDAIPUR,2025,0.814162326
EAST SIKKIM,2018,0.195625971
EAST SIKKIM,2019,0.219114081
EAST SIKKIM,2020,0.211689214
EAST SIKKIM,2021,0.173601365
