State,District,Year,sugarcane_area,sugarcane_production,sugarcane_yield
Andhra Pradesh,Kurnool,2014-2015,714.0,83391.0,116.79
Andhra Pradesh,Kurnool,2015-2016,960.0,95616.0,99.6
Andhra Pradesh,Kurnool,2016-2017,406.0,42708.0,105.19
Andhra Pradesh,Kurnool,2017-2018,453.0,59259.0,130.81
Andhra Pradesh,Kurnool,2018-2019,695.0,62800.0,90.36
Andhra Pradesh,Kurnool,2019-2020,345.0,29835.0,86.48
Andhra Pradesh,Kurnool,2020-2021,186.0,20397.0,109.66
Andhra Pradesh,Kurnool,2021-2022,128.0,14304.0,111.75
Andhra Pradesh,Kurnool,2022-2023,160.0,15373.0,96.08
Andhra Pradesh,Nandyal,2022-2023,18.0,1745.0,96.94
Andhra Pradesh,Ntr,2022-2023,641.0,46169.0,72.03
Andhra Pradesh,Palnadu,2022-2023,45.0,3075.0,68.33
Andhra Pradesh,Parvathipuram manyam,2022-2023,1066.0,79776.0,74.84
Andhra Pradesh,Prakasam,2013-2014,673.0,53132.0,78.95
Andhra Pradesh,Prakasam,2014-2015,900.0,64800.0,72.0
Andhra Pradesh,Prakasam,2015-2016,628.0,49946.0,79.53
Andhra Pradesh,Prakasam,2016-2017,444.0,34632.0,78.0
Andhra Pradesh,Prakasam,2017-2018,233.0,16567.0,71.1
Andhra Pradesh,Prakasam,2018-2019,75.0,6150.0,82.0
Andhra Pradesh,Prakasam,2019-2020,223.0,16861.0,75.61
Andhra Pradesh,Prakasam,2020-2021,167.0,12485.0,74.76
Andhra Pradesh,Prakasam,2021-2022,179.0,13733.0,76.72
Andhra Pradesh,Prakasam,2022-2023,81.0,5319.0,65.67
Andhra Pradesh,Spsr nellore,2013-2014,7835.0,817711.0,104.37
Andhra Pradesh,Spsr nellore,2014-2015,4002.0,393918.0,98.43
Andhra Pradesh,Spsr nellore,2015-2016,1896.0,195847.0,103.29
Andhra Pradesh,Spsr nellore,2016-2017,1184.0,114425.0,96.64
Andhra Pradesh,Spsr nellore,2017-2018,962.0,99086.0,103.0
Andhra Pradesh,Spsr nellore,2018-2019,738.0,62670.0,84.92
Andhra Pradesh,Spsr nellore,2019-2020,350.0,29592.0,84.55
Andhra Pradesh,Spsr nellore,2020-2021,22.0,682.0,31.0
Andhra Pradesh,Spsr nellore,2021-2022,7.0,553.0,79.0
Andhra Pradesh,Sri sathya sai,2022-2023,21.0,1946.0,92.67
Andhra Pradesh,Srikakulam,2013-2014,5682.0,395814.0,69.66
Andhra Pradesh,Srikakulam,2014-2015,6378.0,435708.0,68.31
Andhra Pradesh,Srikakulam,2015-2016,6117.0,473532.0,77.41
Andhra Pradesh,Srikakulam,2016-2017,5645.0,444538.0,78.75
Andhra Pradesh,Srikakulam,2017-2018,5336.0,448802.0,84.11
Andhra Pradesh,Srikakulam,2018-2019,6007.0,453349.0,75.47
Andhra Pradesh,Srikakulam,2019-2020,5650.0,429400.0,76.0
Andhra Pradesh,Srikakulam,2020-2021,3943.0,284147.0,72.06
Andhra Pradesh,Srikakulam,2021-2022,3586.0,251020.0,70.0
Andhra Pradesh,Srikakulam,2022-2023,945.0,85260.0,90.22
Andhra Pradesh,Tirupati,2022-2023,2119.0,191730.0,90.48
