State,District,Year,pulses_area,pulses_production,pulses_yield
Assam,Lakhimpur,2013-2014,1478.0,910.0,0.62
Assam,Lakhimpur,2014-2015,1590.0,1431.0,0.9
Assam,Lakhimpur,2015-2016,1260.0,1144.0,0.91
Assam,Lakhimpur,2016-2017,1665.0,1509.0,0.91
Assam,Lakhimpur,2017-2018,2800.0,2363.0,0.84
Assam,Lakhimpur,2018-2019,1910.0,2388.0,1.25
Assam,Lakhimpur,2019-2020,1895.0,1446.0,0.76
Assam,Lakhimpur,2020-2021,1835.0,2331.0,1.27
Assam,Lakhimpur,2021-2022,1667.0,2076.0,1.25
Assam,Lakhimpur,2022-2023,1446.0,1750.0,1.21
Assam,Majuli,2020-2021,2010.0,1347.0,0.67
Assam,Majuli,2021-2022,1520.0,1018.0,0.67
Assam,Majuli,2022-2023,1520.0,1018.0,0.67
Assam,Marigaon,2013-2014,842.0,825.0,0.98
Assam,Marigaon,2014-2015,761.0,1068.0,1.4
Assam,Marigaon,2015-2016,740.0,1038.0,1.4
Assam,Marigaon,2016-2017,780.0,1104.0,1.42
Assam,Marigaon,2017-2018,760.0,1097.0,1.44
Assam,Marigaon,2018-2019,735.0,953.0,1.3
Assam,Marigaon,2019-2020,779.0,1027.0,1.32
Assam,Marigaon,2020-2021,774.0,968.0,1.25
Assam,Marigaon,2021-2022,1001.0,1251.0,1.25
Assam,Marigaon,2022-2023,1436.0,1666.0,1.16
Assam,Nagaon,2013-2014,2062.0,1128.0,0.55
Assam,Nagaon,2014-2015,1888.0,1075.0,0.57
Assam,Nagaon,2015-2016,2171.0,1749.0,0.81
Assam,Nagaon,2016-2017,2096.0,1624.0,0.77
Assam,Nagaon,2017-2018,2052.0,1398.0,0.68
Assam,Nagaon,2018-2019,1841.0,1363.0,0.74
Assam,Nagaon,2019-2020,1857.0,1089.0,0.59
Assam,Nagaon,2020-2021,1528.0,1051.0,0.69
Assam,Nagaon,2021-2022,1543.0,1061.0,0.69
Assam,Nagaon,2022-2023,1880.0,1329.0,0.71
Assam,Nalbari,2013-2014,3000.0,2505.0,0.84
Assam,Nalbari,2014-2015,2720.0,3016.0,1.11
Assam,Nalbari,2015-2016,2720.0,2263.0,0.83
Assam,Nalbari,2016-2017,1184.0,1421.0,1.2
