State,District,Year,rice_area,rice_production,rice_yield
Arunachal Pradesh,Lower subansiri,2020-2021,6058.0,12520.0,2.07
Arunachal Pradesh,Lower subansiri,2021-2022,6208.0,12755.33,2.05
Arunachal Pradesh,Lower subansiri,2022-2023,6241.0,12883.3,2.06
Arunachal Pradesh,Namsai,2015-2016,6983.0,14667.0,2.1
Arunachal Pradesh,Namsai,2016-2017,8621.0,19462.66,2.26
Arunachal Pradesh,Namsai,2017-2018,8669.0,19624.66,2.26
Arunachal Pradesh,Namsai,2018-2019,8693.0,19703.3,2.27
Arunachal Pradesh,Namsai,2019-2020,8707.0,19919.0,2.29
Arunachal Pradesh,Namsai,2020-2021,8717.0,20010.0,2.3
Arunachal Pradesh,Namsai,2021-2022,8897.0,20166.67,2.27
Arunachal Pradesh,Namsai,2022-2023,8928.0,20342.0,2.28
Arunachal Pradesh,Pakke kessang,2019-2020,2740.0,3636.0,1.33
Arunachal Pradesh,Pakke kessang,2020-2021,2751.0,3726.66,1.35
Arunachal Pradesh,Pakke kessang,2021-2022,2795.0,3788.0,1.36
Arunachal Pradesh,Pakke kessang,2022-2023,2845.0,3874.6,1.36
Arunachal Pradesh,Papum pare,2013-2014,12025.0,22686.0,1.89
Arunachal Pradesh,Papum pare,2014-2015,11325.0,23105.0,2.04
Arunachal Pradesh,Papum pare,2015-2016,11325.0,23317.0,2.06
Arunachal Pradesh,Papum pare,2016-2017,12025.0,23749.33,1.97
Arunachal Pradesh,Papum pare,2017-2018,12073.0,23911.33,1.98
Arunachal Pradesh,Papum pare,2018-2019,12097.0,23990.0,1.98
Arunachal Pradesh,Papum pare,2019-2020,12111.0,24206.0,2.0
Arunachal Pradesh,Papum pare,2020-2021,12122.0,24342.0,2.01
Arunachal Pradesh,Papum pare,2021-2022,12322.0,24742.0,2.01
Arunachal Pradesh,Papum pare,2022-2023,12356.0,24938.6,2.02
Arunachal Pradesh,Shi yomi,2019-2020,2679.0,4327.0,1.62
Arunachal Pradesh,Shi yomi,2020-2021,2690.0,4418.0,1.64
Arunachal Pradesh,Shi yomi,2021-2022,2720.0,4511.33,1.66
Arunachal Pradesh,Shi yomi,2022-2023,2738.0,4560.6,1.67
Arunachal Pradesh,Siang,2015-2016,11133.0,14948.0,1.34
Arunachal Pradesh,Siang,2016-2017,7601.0,11581.33,1.52
Arunachal Pradesh,Siang,2017-2018,7649.0,11743.33,1.54
Arunachal Pradesh,Siang,2018-2019,7673.0,16679.3,2.17
Arunachal Pradesh,Siang,2019-2020,7687.0,16895.0,2.2
Arunachal Pradesh,Siang,2020-2021,7694.0,16992.67,2.21
Arunachal Pradesh,Siang,2021-2022,7864.0,17300.67,2.2
Arunachal Pradesh,Siang,2022-2023,7895.0,16942.0,2.15
Arunachal Pradesh,Tawang,2013-2014,835.0,879.0,1.05
Arunachal Pradesh,Tawang,2014-2015,835.0,1298.0,1.55
Arunachal Pradesh,Tawang,2015-2016,835.0,1298.0,1.55
Arunachal Pradesh,Tawang,2016-2017,835.0,1298.66,1.56
Arunachal Pradesh,Tawang,2017-2018,883.0,1460.66,1.65
Arunachal Pradesh,Tawang,2018-2019,907.0,1539.3,1.7
Arunachal Pradesh,Tawang,2019-2020,917.0,1750.0,1.91
Arunachal Pradesh,Tawang,2020-2021,928.0,1840.67,1.98
Arunachal Pradesh,Tawang,2021-2022,930.0,1841.33,1.98
Arunachal Pradesh,Tawang,2022-2023,949.0,1874.6,1.98
Arunachal Pradesh,Tirap,2013-2014,2280.0,1976.0,0.87
Arunachal Pradesh,Tirap,2014-2015,2280.0,2908.0,1.28
Arunachal Pradesh,Tirap,2015-2016,2374.0,3333.0,1.4
Arunachal Pradesh,Tirap,2016-2017,3000.0,3934.0,1.31
Arunachal Pradesh,Tirap,2017-2018,3048.0,4096.0,1.34
Arunachal Pradesh,Tirap,2018-2019,3072.0,4174.6,1.36
Arunachal Pradesh,Tirap,2019-2020,3086.0,4390.0,1.42
Arunachal Pradesh,Tirap,2020-2021,3096.0,4481.33,1.45
Arunachal Pradesh,Tirap,2021-2022,3146.0,4562.0,1.45
Arunachal Pradesh,Tirap,2022-2023,3173.0,4623.3,1.46
Arunachal Pradesh,Upper siang,2013-2014,6615.0,8510.0,1.29
Arunachal Pradesh,Upper siang,2014-2015,6615.0,8794.0,1.33
Arunachal Pradesh,Upper siang,2015-2016,6709.0,10667.0,1.59
Arunachal Pradesh,Upper siang,2016-2017,6668.0,12669.33,1.9
Arunachal Pradesh,Upper siang,2017-2018,6716.0,12760.0,1.9
Arunachal Pradesh,Upper siang,2018-2019,6740.0,12838.6,1.9
Arunachal Pradesh,Upper siang,2019-2020,6754.0,13054.0,1.93
Arunachal Pradesh,Upper siang,2020-2021,6765.0,13145.33,1.94
Arunachal Pradesh,Upper siang,2021-2022,6915.0,13507.33,1.95
Arunachal Pradesh,Upper siang,2022-2023,6944.0,13636.6,1.96
Arunachal Pradesh,Upper subansiri,2013-2014,5062.0,9280.0,1.83
Arunachal Pradesh,Upper subansiri,2014-2015,5062.0,9698.0,1.92
Arunachal Pradesh,Upper subansiri,2015-2016,5156.0,9797.0,1.9
Arunachal Pradesh,Upper subansiri,2016-2017,5121.0,10608.0,2.07
Arunachal Pradesh,Upper subansiri,2017-2018,5169.0,10770.0,2.08
Arunachal Pradesh,Upper subansiri,2018-2019,4342.0,8996.0,2.07
Arunachal Pradesh,Upper subansiri,2019-2020,4356.0,9212.0,2.11
Arunachal Pradesh,Upper subansiri,2020-2021,4367.0,9302.67,2.13
Arunachal Pradesh,Upper subansiri,2021-2022,4467.0,9380.66,2.1
Arunachal Pradesh,Upper subansiri,2022-2023,4496.0,9485.3,2.11
Arunachal Pradesh,West kameng,2013-2014,880.0,891.0,1.01
Arunachal Pradesh,West kameng,2014-2015,880.0,1256.0,1.43
Arunachal Pradesh,West kameng,2015-2016,880.0,1257.0,1.43
Arunachal Pradesh,West kameng,2016-2017,882.0,1256.66,1.42
Arunachal Pradesh,West kameng,2017-2018,930.0,1418.66,1.53
