State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
9. Kerala,1. Palakkad,2016 - 2017,,,,,,,80,120,1.5,,,
,,2017 - 2018,,,,,,,84,132,1.57,,,
,,2018 - 2019,,,,,,,59.4,89.51,1.51,,,
,,2019 - 2020,,,,,,,54,81.77,1.51,,,
,,2020 - 2021,,,,,,,5,34,6.8,,,
,,2021 - 2022,,,,,,,4,22,5.5,,,
,,2022 - 2023,,,,,,,5.2,51.76,9.95,,,
,2. Thrissur,2015 - 2016,109,196,1.8,,,,,,,,,
10. Madhya Pradesh,1. Alirajpur,2013 - 2014,"7,870.00","16,717.00",2.12,,,,,,,,,
,,2014 - 2015,"27,000.00","27,000.00",1,,,,,,,,,
,,2015 - 2016,"9,000.00","11,000.00",1.22,,,,,,,,,
,,2016 - 2017,"7,000.00","7,000.00",1,,,,,,,,,
,,2017 - 2018,"9,000.00","9,250.00",1.03,,,,,,,,,
,,2018 - 2019,"11,171.00","21,527.00",1.93,,,,,,,,,
,,2019 - 2020,"20,379.00","25,718.00",1.26,,,,,,,,,
,,2020 - 2021,"17,143.00","21,634.00",1.26,,,,,,,,,
,,2021 - 2022,"18,839.00","1,41,847.05",7.53,,,,,,,,,
,,2022 - 2023,"22,403.00","22,739.00",1.01,,,,,,,,,
,2. Barwani,2013 - 2014,"65,882.00","1,98,850.00",3.02,,,,,,,,,
,,2014 - 2015,"76,000.00","81,000.00",1.07,,,,,,,,,
,,2015 - 2016,"70,000.00","80,000.00",1.14,,,,,,,,,
,,2016 - 2017,"62,000.00","1,35,000.00",2.18,,,,,,,,,
,,2017 - 2018,"64,000.00","1,32,160.00",2.07,,,,,,,,,
,,2018 - 2019,"72,709.00","2,65,679.00",3.65,,,,,,,,,
,,2019 - 2020,"81,857.00","1,33,591.00",1.63,,,,,,,,,
,,2020 - 2021,"79,136.00","1,40,862.00",1.78,,,,,,,,,
,,2021 - 2022,"76,869.00","8,04,864.70",10.47,,,,,,,,,
,,2022 - 2023,"90,095.00","1,79,289.00",1.99,,,,,,,,,
,3. Betul,2013 - 2014,214,221,1.03,,,,,,,,,
,,2014 - 2015,"5,000.00","5,000.00",1,,,,,,,,,
,,2017 - 2018,300,460,1.53,,,,,,,,,
,,2018 - 2019,529,295,0.56,,,,,,,,,
,,2019 - 2020,"1,613.00",903,0.56,,,,,,,,,
,,2020 - 2021,"1,280.00",960,0.75,,,,,,,,,
,,2021 - 2022,904,"4,547.05",5.03,,,,,,,,,
,,2022 - 2023,"1,575.00","1,024.00",0.65,,,,,,,,,
,4. Bhind,2019 - 2020,2,1,0.5,,,,,,,,,
,5. Burhanpur,2013 - 2014,"42,221.00","1,19,578.00",2.83,,,,,,,,,
,,2014 - 2015,"61,000.00","51,000.00",0.84,,,,,,,,,
,,2015 - 2016,"43,000.00","48,000.00",1.12,,,,,,,,,
,,2016 - 2017,"45,000.00","98,000.00",2.18,,,,,,,,,
,,2017 - 2018,"47,100.00","95,000.00",2.02,,,,,,,,,
,,2018 - 2019,"13,485.00","43,678.00",3.24,,,,,,,,,
,,2019 - 2020,"35,819.00","64,188.00",1.79,,,,,,,,,
,,2020 - 2021,"27,800.00","50,318.00",1.81,,,,,,,,,
,,2021 - 2022,"23,467.00","2,20,588.23",9.4,,,,,,,,,
,,2022 - 2023,"26,342.00","51,499.00",1.96,,,,,,,,,
,6. Chhatarpur,2018 - 2019,16,24,1.5,,,,,,,,,
,7. Chhindwara,2013 - 2014,"34,093.00","38,227.00",1.12,,,,,,,,,
,,2014 - 2015,"15,000.00","10,000.00",0.67,,,,,,,,,
,,2015 - 2016,"44,000.00","51,000.00",1.16,,,,,,,,,
,,2016 - 2017,"45,000.00","48,000.00",1.07,,,,,,,,,
,,2017 - 2018,"47,600.00","53,360.00",1.12,,,,,,,,,
,,2018 - 2019,"17,462.00","30,698.00",1.76,,,,,,,,,
,,2019 - 2020,"58,194.00","1,39,840.00",2.4,,,,,,,,,
,,2020 - 2021,"51,245.00","1,28,625.00",2.51,,,,,,,,,
,,2021 - 2022,"50,152.00","6,34,276.40",12.65,,,,,,,,,
,,2022 - 2023,"59,386.00","1,01,550.00",1.71,,,,,,,,,
,8. Damoh,2021 - 2022,4,23.53,5.88,,,,,,,,,
,9. Datia,2018 - 2019,1,2,2,,,,,,,,,
,,2021 - 2022,1,5.88,5.88,,,,,,,,,
,10. Dewas,2013 - 2014,"6,625.00","12,930.00",1.95,,,,,,,,,
,,2014 - 2015,"8,000.00","8,000.00",1,,,,,,,,,
,,2015 - 2016,"9,000.00","11,000.00",1.22,,,,,,,,,
,,2016 - 2017,"11,000.00","6,000.00",0.55,,,,,,,,,
,,2017 - 2018,"6,000.00","8,700.00",1.45,,,,,,,,,
,,2018 - 2019,300,433,1.44,,,,,,,,,
,,2019 - 2020,"1,097.00",975,0.89,,,,,,,,,
,,2020 - 2021,441,392,0.89,,,,,,,,,
,,2021 - 2022,431,"3,676.47",8.53,,,,,,,,,
,,2022 - 2023,561,813,1.45,,,,,,,,,
,11. Dhar,2013 - 2014,"96,409.00","2,35,076.00",2.44,,,,,,,,,
,,2014 - 2015,"1,08,000.00","80,000.00",0.74,,,,,,,,,
,,2015 - 2016,"92,000.00","1,25,000.00",1.36,,,,,,,,,
,,2016 - 2017,"1,01,000.00","1,11,000.00",1.1,,,,,,,,,
,,2017 - 2018,"98,000.00","1,96,000.00",2,,,,,,,,,
,,2018 - 2019,"81,273.00","1,27,842.00",1.57,,,,,,,,,
,,2019 - 2020,"1,03,299.00","1,83,872.00",1.78,,,,,,,,,
,,2020 - 2021,"1,00,462.00","1,78,822.00",1.78,,,,,,,,,
,,2021 - 2022,"1,10,255.00","9,63,111.76",8.74,,,,,,,,,
,,2022 - 2023,"1,17,816.00","1,74,957.00",1.49,,,,,,,,,
,12. Dindori,2018 - 2019,7,10,1.43,,,,,,,,,
,13. Guna,2014 - 2015,"5,000.00","3,000.00",0.6,,,,,,,,,
,,2018 - 2019,71,48,0.68,,,,,,,,,
,,2019 - 2020,101,78,0.77,,,,,,,,,
,,2020 - 2021,27,21,0.78,,,,,,,,,
,,2021 - 2022,44,229.41,5.21,,,,,,,,,
,,2022 - 2023,23,18,0.78,,,,,,,,,
,14. Harda,2013 - 2014,100,157,1.57,,,,,,,,,
,,2014 - 2015,"4,000.00","3,000.00",0.75,,,,,,,,,
,,2017 - 2018,50,80,1.6,,,,,,,,,
,,2018 - 2019,13,15,1.15,,,,,,,,,
,,2019 - 2020,23,16,0.7,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,12,82.35,6.86,,,,,,,,,
,15. Indore,2013 - 2014,38,35,0.92,,,,,,,,,
,,2014 - 2015,"5,000.00","3,000.00",0.6,,,,,,,,,
,,2017 - 2018,400,440,1.1,,,,,,,,,
,,2018 - 2019,17,19,1.12,,,,,,,,,
,,2019 - 2020,185,100,0.54,,,,,,,,,
,,2020 - 2021,97,52,0.54,,,,,,,,,
,,2021 - 2022,68,211.76,3.11,,,,,,,,,
,,2022 - 2023,67,49,0.73,,,,,,,,,
,16. Jabalpur,2019 - 2020,1,1,1,,,,,,,,,
,17. Jhabua,2013 - 2014,"20,845.00","62,410.00",2.99,,,,,,,,,
,,2014 - 2015,"21,000.00","18,000.00",0.86,,,,,,,,,
,,2015 - 2016,"26,000.00","41,000.00",1.58,,,,,,,,,
,,2016 - 2017,"26,000.00","46,000.00",1.77,,,,,,,,,
,,2017 - 2018,"25,000.00","25,100.00",1,,,,,,,,,
,,2018 - 2019,"5,118.00","6,551.00",1.28,,,,,,,,,
,,2019 - 2020,"35,267.00","32,058.00",0.91,,,,,,,,,
,,2020 - 2021,"28,683.00","35,280.00",1.23,,,,,,,,,
,,2021 - 2022,"22,543.00","1,15,364.70",5.12,,,,,,,,,
,,2022 - 2023,"23,997.00","28,700.00",1.2,,,,,,,,,
,18. Katni,2019 - 2020,16,17,1.06,,,,,,,,,
,,2020 - 2021,10,11,1.1,,,,,,,,,
,,2021 - 2022,16,100,6.25,,,,,,,,,
,,2022 - 2023,39,41,1.05,,,,,,,,,
,19. Khandwa,2013 - 2014,"57,663.00","1,29,552.00",2.25,,,,,,,,,
,,2014 - 2015,"72,000.00","1,06,000.00",1.47,,,,,,,,,
,,2015 - 2016,"53,000.00","66,000.00",1.25,,,,,,,,,
,,2016 - 2017,"60,000.00","85,000.00",1.42,,,,,,,,,
,,2017 - 2018,"58,000.00","74,180.00",1.28,,,,,,,,,
,,2018 - 2019,"45,941.00","47,044.00",1.02,,,,,,,,,
,,2019 - 2020,"62,918.00","48,950.00",0.78,,,,,,,,,
,,2020 - 2021,"51,092.00","63,865.00",1.25,,,,,,,,,
,,2021 - 2022,"51,068.00","3,48,464.70",6.82,,,,,,,,,
,,2022 - 2023,"45,901.00","60,498.00",1.32,,,,,,,,,
,20. Khargone,2013 - 2014,"2,20,210.00","3,69,275.00",1.68,,,,,,,,,
,,2014 - 2015,"1,97,000.00","3,13,000.00",1.59,,,,,,,,,
,,2015 - 2016,"1,92,000.00","2,55,000.00",1.33,,,,,,,,,
,,2016 - 2017,"2,15,000.00","3,79,000.00",1.76,,,,,,,,,
,,2017 - 2018,"2,18,000.00","3,11,090.00",1.43,,,,,,,,,
,,2018 - 2019,"2,03,715.00","3,31,037.00",1.63,,,,,,,,,
,,2019 - 2020,"2,27,660.00","1,94,194.00",0.85,,,,,,,,,
,,2020 - 2021,"2,12,333.00","2,42,060.00",1.14,,,,,,,,,
,,2021 - 2022,"1,90,032.00","13,74,935.30",7.24,,,,,,,,,
,,2022 - 2023,"1,91,341.00","2,52,953.00",1.32,,,,,,,,,
,21. Mandla,2019 - 2020,1,,0,,,,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,,,,
,22. Mandsaur,2013 - 2014,403,675,1.67,,,,,,,,,
,,2014 - 2015,"5,000.00","4,000.00",0.8,,,,,,,,,
,,2017 - 2018,200,250,1.25,,,,,,,,,
,,2018 - 2019,15,15,1,,,,,,,,,
,,2019 - 2020,14,10,0.71,,,,,,,,,
,23. Morena,2018 - 2019,44,92,2.09,,,,,,,,,
,,2019 - 2020,25,29,1.16,,,,,,,,,
,,2020 - 2021,2,2,1,,,,,,,,,
,24. Narsinghpur,2018 - 2019,13,20,1.54,,,,,,,,,
,,2019 - 2020,16,15,0.94,,,,,,,,,
,,2020 - 2021,11,10,0.91,,,,,,,,,
,,2022 - 2023,24,22,0.92,,,,,,,,,
,25. Neemuch,2013 - 2014,64,91,1.42,,,,,,,,,
,,2014 - 2015,"5,000.00","4,000.00",0.8,,,,,,,,,
,,2017 - 2018,140,250,1.79,,,,,,,,,
,,2018 - 2019,189,188,0.99,,,,,,,,,
,,2019 - 2020,89,44,0.49,,,,,,,,,
,,2020 - 2021,70,34,0.49,,,,,,,,,
,,2021 - 2022,14,47.05,3.36,,,,,,,,,
,26. Panna,2019 - 2020,1,,0,,,,,,,,,
,27. Raisen,2018 - 2019,108,60,0.56,,,,,,,,,
,,2019 - 2020,10,2,0.2,,,,,,,,,
,,2020 - 2021,4,1,0.25,,,,,,,,,
,,2021 - 2022,2,0,0,,,,,,,,,
,28. Rajgarh,2018 - 2019,1,1,1,,,,,,,,,
,29. Ratlam,2013 - 2014,"20,927.00","41,329.00",1.97,,,,,,,,,
,,2014 - 2015,"11,000.00","13,000.00",1.18,,,,,,,,,
,,2015 - 2016,"23,000.00","25,000.00",1.09,,,,,,,,,
,,2016 - 2017,"28,000.00","32,000.00",1.14,,,,,,,,,
,,2017 - 2018,"29,400.00","46,800.00",1.59,,,,,,,,,
,,2018 - 2019,"1,934.00","3,100.00",1.6,,,,,,,,,
,,2019 - 2020,"21,103.00","13,865.00",0.66,,,,,,,,,
,,2020 - 2021,"18,306.00","14,645.00",0.8,,,,,,,,,
,,2021 - 2022,"15,500.00","84,794.11",5.47,,,,,,,,,
,,2022 - 2023,"15,334.00","15,748.00",1.03,,,,,,,,,
,30. Rewa,2019 - 2020,7,3,0.43,,,,,,,,,
,,2021 - 2022,1,5.88,5.88,,,,,,,,,
,31. Sagar,2019 - 2020,6,5,0.83,,,,,,,,,
,32. Satna,2021 - 2022,21,76.47,3.64,,,,,,,,,
,33. Sehore,2019 - 2020,1,,0,,,,,,,,,
,,2021 - 2022,1,5.88,5.88,,,,,,,,,
,34. Seoni,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2018 - 2019,78,105,1.35,,,,,,,,,
,,2019 - 2020,86,63,0.73,,,,,,,,,
,,2020 - 2021,72,52,0.72,,,,,,,,,
,,2021 - 2022,58,441.17,7.61,,,,,,,,,
,,2022 - 2023,112,144,1.29,,,,,,,,,
,35. Shahdol,2019 - 2020,2,2,1,,,,,,,,,
,,2021 - 2022,1,5.88,5.88,,,,,,,,,
,36. Shajapur,2014 - 2015,"7,000.00","6,000.00",0.86,,,,,,,,,
,37. Sheopur,2013 - 2014,248,320,1.29,,,,,,,,,
,,2014 - 2015,"5,000.00","3,000.00",0.6,,,,,,,,,
,,2018 - 2019,634,704,1.11,,,,,,,,,
,,2019 - 2020,507,361,0.71,,,,,,,,,
,,2020 - 2021,71,51,0.72,,,,,,,,,
,,2021 - 2022,39,129.41,3.32,,,,,,,,,
,,2022 - 2023,18,15,0.83,,,,,,,,,
,38. Shivpuri,2018 - 2019,14,18,1.29,,,,,,,,,
,39. Sidhi,2018 - 2019,3,1,0.33,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,7,6,0.86,,,,,,,,,
,,2021 - 2022,1,5.88,5.88,,,,,,,,,
,40. Singrauli,2019 - 2020,2,,0,,,,,,,,,
,,2021 - 2022,1,0,0,,,,,,,,,
,41. Tikamgarh,2018 - 2019,3,4,1.33,,,,,,,,,
,42. Ujjain,2018 - 2019,3,3,1,,,,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,,,,
,,2021 - 2022,2,0,0,,,,,,,,,
,43. Umaria,2019 - 2020,2,2,1,,,,,,,,,
,44. Vidisha,2018 - 2019,2,2,1,,,,,,,,,
11. Maharashtra,1. Ahilyanagar,2013 - 2014,"1,04,700.00","2,22,400.00",2.12,,,,,,,,,
,,2014 - 2015,"1,02,600.00","96,700.00",0.94,,,,,,,,,
,,2015 - 2016,"73,600.00","39,000.00",0.53,,,,,,,,,
,,2016 - 2017,"1,32,400.00","1,39,400.00",1.05,,,,,,,,,
,,2017 - 2018,"1,32,800.00","2,20,600.00",1.66,,,,,,,,,
,,2018 - 2019,"1,29,932.00","48,381.00",0.37,,,,,,,,,
,,2019 - 2020,"1,59,250.00","1,46,932.00",0.92,,,,,,,,,
,,2020 - 2021,"1,72,800.00","3,99,500.00",2.31,,,,,,,,,
,,2021 - 2022,"1,62,600.00","2,77,400.00",1.71,,,,,,,,,
,,2022 - 2023,"1,31,229.17","2,55,061.86",1.94,,,,,,,,,
,2. Akola,2013 - 2014,"1,47,300.00","3,43,600.00",2.33,,,,,,,,,
,,2014 - 2015,"1,47,000.00","1,22,600.00",0.83,,,,,,,,,
,,2015 - 2016,"1,42,900.00","1,94,900.00",1.36,,,,,,,,,
,,2016 - 2017,"1,55,100.00","4,42,700.00",2.85,,,,,,,,,
,,2017 - 2018,"1,64,550.00","2,40,400.00",1.46,,,,,,,,,
,,2018 - 2019,"1,68,836.00","4,19,575.00",2.49,,,,,,,,,
,,2019 - 2020,"1,54,440.00","3,80,667.00",2.46,,,,,,,,,
,,2020 - 2021,"1,59,100.00","3,35,500.00",2.11,,,,,,,,,
,,2021 - 2022,"1,53,000.00","3,05,600.00",2,,,,,,,,,
,,2022 - 2023,"1,49,868.87","3,62,488.72",2.42,,,,,,,,,
,3. Amravati,2013 - 2014,"1,86,700.00","6,33,200.00",3.39,,,,,,,,,
,,2014 - 2015,"1,96,500.00","1,96,200.00",1,,,,,,,,,
,,2015 - 2016,"2,00,000.00","4,17,000.00",2.09,,,,,,,,,
,,2016 - 2017,"2,00,300.00","8,04,000.00",4.01,,,,,,,,,
,,2017 - 2018,"2,07,457.00","3,80,300.00",1.83,,,,,,,,,
,,2018 - 2019,"2,09,583.00","6,26,027.00",2.99,,,,,,,,,
,,2019 - 2020,"2,76,078.00","4,60,287.00",1.67,,,,,,,,,
,,2020 - 2021,"2,76,100.00","7,40,400.00",2.68,,,,,,,,,
,,2021 - 2022,"2,75,800.00","6,18,900.00",2.24,,,,,,,,,
,,2022 - 2023,"2,72,890.17","3,87,477.41",1.42,,,,,,,,,
,4. Beed,2013 - 2014,"3,38,600.00","5,46,400.00",1.61,,,,,,,,,
,,2014 - 2015,"3,73,300.00","1,67,600.00",0.45,,,,,,,,,
,,2015 - 2016,"3,34,100.00","1,01,000.00",0.3,,,,,,,,,
,,2016 - 2017,"3,41,400.00","4,76,940.00",1.4,,,,,,,,,
,,2017 - 2018,"3,48,509.00","2,77,800.00",0.8,,,,,,,,,
,,2018 - 2019,"3,77,515.00","1,35,247.00",0.36,,,,,,,,,
,,2019 - 2020,"3,84,957.00","3,76,379.00",0.98,,,,,,,,,
,,2020 - 2021,"3,75,800.00","8,57,000.00",2.28,,,,,,,,,
,,2021 - 2022,"3,13,450.00","4,38,900.00",1.4,,,,,,,,,
,,2022 - 2023,"2,73,118.00","4,75,708.51",1.74,,,,,,,,,
,5. Bhandara,2017 - 2018,38,100,2.63,,,,,,,,,
,,2018 - 2019,4,10,2.5,,,,,,,,,
,,2019 - 2020,107,287,2.68,,,,,,,,,
,,2020 - 2021,500,"1,400.00",2.8,,,,,,,,,
,,2021 - 2022,400,"1,200.00",3,,,,,,,,,
,,2022 - 2023,439.06,"1,176.51",2.68,,,,,,,,,
,6. Buldhana,2013 - 2014,"2,27,900.00","6,39,600.00",2.81,,,,,,,,,
,,2014 - 2015,"1,74,300.00","1,32,500.00",0.76,,,,,,,,,
,,2015 - 2016,"1,70,700.00","1,65,800.00",0.97,,,,,,,,,
,,2016 - 2017,"1,69,550.00","5,16,600.00",3.05,,,,,,,,,
,,2017 - 2018,"1,74,539.00","1,80,900.00",1.04,,,,,,,,,
,,2018 - 2019,"1,77,928.00","3,08,970.00",1.74,,,,,,,,,
,,2019 - 2020,"1,96,553.00","1,57,132.00",0.8,,,,,,,,,
,,2020 - 2021,"2,03,500.00","4,75,100.00",2.33,,,,,,,,,
,,2021 - 2022,"2,03,800.00","5,47,300.00",2.69,,,,,,,,,
,,2022 - 2023,"2,12,220.31","5,42,517.73",2.56,,,,,,,,,
,7. Chandrapur,2013 - 2014,"1,07,100.00","2,02,300.00",1.89,,,,,,,,,
,,2014 - 2015,"1,23,700.00","1,43,900.00",1.16,,,,,,,,,
,,2015 - 2016,"1,56,900.00","2,03,200.00",1.3,,,,,,,,,
,,2016 - 2017,"1,62,800.00","5,49,300.00",3.37,,,,,,,,,
,,2017 - 2018,"1,65,040.00","3,25,200.00",1.97,,,,,,,,,
,,2018 - 2019,"1,53,291.00","3,22,452.00",2.1,,,,,,,,,
,,2019 - 2020,"1,54,660.00","3,71,371.00",2.4,,,,,,,,,
,,2020 - 2021,"1,54,900.00","3,78,400.00",2.44,,,,,,,,,
,,2021 - 2022,"1,53,700.00","3,51,200.00",2.28,,,,,,,,,
,,2022 - 2023,"1,52,447.55","4,42,486.06",2.9,,,,,,,,,
,8. Chhatrapati Sambhajinagar,2013 - 2014,"4,22,600.00","10,36,100.00",2.45,,,,,,,,,
,,2014 - 2015,"4,22,600.00","2,44,300.00",0.58,,,,,,,,,
,,2015 - 2016,"4,58,000.00","2,71,300.00",0.59,,,,,,,,,
,,2016 - 2017,"5,06,500.00","9,92,300.00",1.96,,,,,,,,,
,,2017 - 2018,"5,21,353.00","4,15,200.00",0.8,,,,,,,,,
,,2018 - 2019,"3,85,441.00","3,74,332.00",0.97,,,,,,,,,
,,2019 - 2020,"4,34,491.00","6,11,894.00",1.41,,,,,,,,,
,,2020 - 2021,"4,54,600.00","8,40,100.00",1.85,,,,,,,,,
,,2021 - 2022,"4,54,600.00","4,98,700.00",1.1,,,,,,,,,
,,2022 - 2023,"4,00,404.99","4,52,630.51",1.13,,,,,,,,,
,9. Dharashiv,2013 - 2014,"29,300.00","57,300.00",1.96,,,,,,,,,
,,2014 - 2015,"29,300.00","23,000.00",0.78,,,,,,,,,
,,2015 - 2016,"15,400.00","6,800.00",0.44,,,,,,,,,
,,2016 - 2017,"13,300.00","21,100.00",1.59,,,,,,,,,
,,2017 - 2018,"13,448.00","8,000.00",0.59,,,,,,,,,
,,2018 - 2019,"16,254.00","8,251.00",0.51,,,,,,,,,
,,2019 - 2020,"25,198.00","13,039.00",0.52,,,,,,,,,
,,2020 - 2021,"20,000.00","33,200.00",1.66,,,,,,,,,
,,2021 - 2022,"12,900.00","17,900.00",1.39,,,,,,,,,
,,2022 - 2023,"2,027.43","3,026.29",1.49,,,,,,,,,
,10. Dhule,2013 - 2014,"1,73,200.00","4,32,700.00",2.5,,,,,,,,,
,,2014 - 2015,"2,09,900.00","2,58,200.00",1.23,,,,,,,,,
,,2015 - 2016,"2,28,100.00","2,32,600.00",1.02,,,,,,,,,
,,2016 - 2017,"1,96,100.00","3,45,600.00",1.76,,,,,,,,,
,,2017 - 2018,"2,00,400.00","3,79,400.00",1.89,,,,,,,,,
,,2018 - 2019,"2,17,874.00","2,10,521.00",0.97,,,,,,,,,
,,2019 - 2020,"2,39,542.00","1,92,984.00",0.81,,,,,,,,,
,,2020 - 2021,"2,39,100.00","5,01,400.00",2.1,,,,,,,,,
,,2021 - 2022,"2,50,600.00","2,95,900.00",1.18,,,,,,,,,
,,2022 - 2023,"2,58,513.52","5,45,985.20",2.11,,,,,,,,,
,11. Gadchiroli,2013 - 2014,"5,300.00","8,100.00",1.53,,,,,,,,,
,,2014 - 2015,"4,200.00","7,600.00",1.81,,,,,,,,,
,,2015 - 2016,"4,100.00","6,900.00",1.68,,,,,,,,,
,,2016 - 2017,"4,900.00","14,500.00",2.96,,,,,,,,,
,,2017 - 2018,"5,654.00","22,600.00",4,,,,,,,,,
,,2018 - 2019,"6,897.00","14,773.00",2.14,,,,,,,,,
,,2019 - 2020,"6,702.00","20,194.00",3.01,,,,,,,,,
,,2020 - 2021,"6,900.00","17,300.00",2.51,,,,,,,,,
,,2021 - 2022,"7,200.00","17,100.00",2.38,,,,,,,,,
,,2022 - 2023,"7,106.81","16,612.80",2.34,,,,,,,,,
,12. Gondia,2019 - 2020,2,5,2.5,,,,,,,,,
,,2021 - 2022,8,22,2.75,,,,,,,,,
,13. Hingoli,2013 - 2014,"96,000.00","1,92,400.00",2,,,,,,,,,
,,2014 - 2015,"94,700.00","85,400.00",0.9,,,,,,,,,
,,2015 - 2016,"84,200.00","46,500.00",0.55,,,,,,,,,
,,2016 - 2017,"75,000.00","1,57,400.00",2.1,,,,,,,,,
,,2017 - 2018,"86,974.00","1,34,200.00",1.54,,,,,,,,,
,,2018 - 2019,"83,681.00","1,63,749.00",1.96,,,,,,,,,
,,2019 - 2020,"47,011.00","1,18,022.00",2.51,,,,,,,,,
,,2020 - 2021,"45,700.00","85,600.00",1.87,,,,,,,,,
,,2021 - 2022,"44,900.00","78,700.00",1.75,,,,,,,,,
,,2022 - 2023,"32,475.94","78,215.44",2.41,,,,,,,,,
,14. Jalgaon,2013 - 2014,"5,58,800.00","15,04,000.00",2.69,,,,,,,,,
,,2014 - 2015,"4,71,100.00","7,68,100.00",1.63,,,,,,,,,
,,2015 - 2016,"4,61,600.00","6,05,900.00",1.31,,,,,,,,,
,,2016 - 2017,"5,04,200.00","14,62,300.00",2.9,,,,,,,,,
,,2017 - 2018,"5,14,300.00","8,34,900.00",1.62,,,,,,,,,
,,2018 - 2019,"5,03,476.00","9,05,203.00",1.8,,,,,,,,,
,,2019 - 2020,"5,34,101.00","5,02,286.00",0.94,,,,,,,,,
,,2020 - 2021,"5,40,600.00","14,02,200.00",2.59,,,,,,,,,
,,2021 - 2022,"4,89,400.00","7,31,200.00",1.49,,,,,,,,,
,,2022 - 2023,"5,31,076.79","12,94,918.60",2.44,,,,,,,,,
,15. Jalna,2013 - 2014,"2,98,800.00","6,81,400.00",2.28,,,,,,,,,
,,2014 - 2015,"2,94,200.00","1,59,100.00",0.54,,,,,,,,,
,,2015 - 2016,"2,86,100.00","1,49,100.00",0.52,,,,,,,,,
,,2016 - 2017,"2,66,400.00","6,98,800.00",2.62,,,,,,,,,
,,2017 - 2018,"2,79,539.00","1,74,600.00",0.62,,,,,,,,,
,,2018 - 2019,"3,02,725.00","3,47,347.00",1.15,,,,,,,,,
,,2019 - 2020,"3,30,994.00","7,71,154.00",2.33,,,,,,,,,
,,2020 - 2021,"3,42,500.00","7,85,900.00",2.29,,,,,,,,,
,,2021 - 2022,"3,33,880.00","6,10,800.00",1.83,,,,,,,,,
,,2022 - 2023,"3,03,128.95","6,87,786.40",2.27,,,,,,,,,
,16. Kolhapur,2017 - 2018,13,12,0.92,,,,,,,,,
,17. Latur,2013 - 2014,"4,400.00","14,200.00",3.23,,,,,,,,,
,,2014 - 2015,"3,800.00","2,700.00",0.71,,,,,,,,,
,,2015 - 2016,"3,300.00","1,600.00",0.48,,,,,,,,,
,,2016 - 2017,"2,700.00","11,800.00",4.37,,,,,,,,,
,,2017 - 2018,"3,111.00","11,700.00",3.76,,,,,,,,,
,,2018 - 2019,"5,861.00","4,963.00",0.85,,,,,,,,,
,,2019 - 2020,"6,269.00","9,557.00",1.52,,,,,,,,,
,,2020 - 2021,"7,900.00","19,800.00",2.51,,,,,,,,,
,,2021 - 2022,"7,900.00","12,600.00",1.59,,,,,,,,,
,,2022 - 2023,"7,283.88","27,221.14",3.74,,,,,,,,,
,18. Nagpur,2013 - 2014,"92,400.00","1,50,400.00",1.63,,,,,,,,,
,,2014 - 2015,"1,11,300.00","1,50,200.00",1.35,,,,,,,,,
,,2015 - 2016,"1,26,400.00","1,61,400.00",1.28,,,,,,,,,
,,2016 - 2017,"1,36,500.00","5,50,200.00",4.03,,,,,,,,,
,,2017 - 2018,"1,45,168.00","3,47,600.00",2.39,,,,,,,,,
,,2018 - 2019,"1,42,626.00","3,24,685.00",2.28,,,,,,,,,
,,2019 - 2020,"1,53,345.00","4,09,516.00",2.67,,,,,,,,,
,,2020 - 2021,"1,58,900.00","5,08,200.00",3.2,,,,,,,,,
,,2021 - 2022,"1,58,900.00","4,51,800.00",2.84,,,,,,,,,
,,2022 - 2023,"2,14,085.24","5,86,809.06",2.74,,,,,,,,,
,19. Nanded,2013 - 2014,"3,21,100.00","3,60,900.00",1.12,,,,,,,,,
,,2014 - 2015,"3,42,300.00","1,76,800.00",0.52,,,,,,,,,
,,2015 - 2016,"3,52,700.00","2,40,600.00",0.68,,,,,,,,,
,,2016 - 2017,"3,64,300.00","6,35,400.00",1.74,,,,,,,,,
,,2017 - 2018,"2,99,543.00","3,11,700.00",1.04,,,,,,,,,
,,2018 - 2019,"2,40,876.00","3,64,857.00",1.51,,,,,,,,,
,,2019 - 2020,"2,44,704.00","2,58,461.00",1.06,,,,,,,,,
,,2020 - 2021,"2,44,700.00","4,12,100.00",1.68,,,,,,,,,
,,2021 - 2022,"2,34,600.00","3,07,300.00",1.31,,,,,,,,,
,,2022 - 2023,"1,97,291.42","3,33,033.72",1.69,,,,,,,,,
,20. Nandurbar,2013 - 2014,"1,02,200.00","1,49,800.00",1.47,,,,,,,,,
,,2014 - 2015,"1,18,600.00","1,01,200.00",0.85,,,,,,,,,
,,2015 - 2016,"1,16,600.00","1,10,600.00",0.95,,,,,,,,,
,,2016 - 2017,"85,500.00","1,52,100.00",1.78,,,,,,,,,
