State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2017 - 2018,61,32,0.52,,,,,,,,,
,,2018 - 2019,52,28,0.54,,,,,,,,,
,,2019 - 2020,37,20,0.54,,,,,,,,,
,,2020 - 2021,62,33,0.53,,,,,,,,,
,,2021 - 2022,53,28,0.53,,,,,,,,,
,,2022 - 2023,53,28,0.53,,,,,,,,,
,11. Goalpara,2013 - 2014,6,2,0.33,,,,,,,,,
,,2014 - 2015,9,3,0.33,,,,,,,,,
,,2015 - 2016,8,3,0.38,,,,,,,,,
,12. Golaghat,2013 - 2014,13,5,0.38,,,,,,,,,
,,2014 - 2015,11,5,0.45,,,,,,,,,
,,2015 - 2016,13,5,0.38,,,,,,,,,
,,2016 - 2017,11,4,0.36,,,,,,,,,
,,2017 - 2018,6,2,0.33,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,,2019 - 2020,9,4,0.44,,,,,,,,,
,,2020 - 2021,9,4,0.44,,,,,,,,,
,,2021 - 2022,8,4,0.5,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,13. Hailakandi,2013 - 2014,20,8,0.4,,,,,,,,,
,,2014 - 2015,10,4,0.4,,,,,,,,,
,,2015 - 2016,10,4,0.4,,,,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,,,,
,,2017 - 2018,7,3,0.43,,,,,,,,,
,,2018 - 2019,8,4,0.5,,,,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,14. Jorhat,2013 - 2014,8,4,0.5,,,,,,,,,
,,2014 - 2015,15,6,0.4,,,,,,,,,
,,2015 - 2016,19,8,0.42,,,,,,,,,
,,2016 - 2017,8,3,0.38,,,,,,,,,
,,2017 - 2018,8,3,0.38,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,,2019 - 2020,11,5,0.45,,,,,,,,,
,,2020 - 2021,5,2,0.4,,,,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,,,,
,,2022 - 2023,6,3,0.5,,,,,,,,,
,15. Kamrup,2013 - 2014,3,1,0.33,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,2,2,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,16. Kamrup metro,2013 - 2014,3,1,0.33,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,,,,
,,2015 - 2016,5,2,0.4,,,,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,17. Karbi anglong,2013 - 2014,817,405,0.5,,,,,,,,,
,,2014 - 2015,567,280,0.49,,,,,,,,,
,,2015 - 2016,576,288,0.5,,,,,,,,,
,,2016 - 2017,605,307,0.51,,,,,,,,,
,,2017 - 2018,519,266,0.51,,,,,,,,,
,,2018 - 2019,593,316,0.53,,,,,,,,,
,,2019 - 2020,580,318,0.55,,,,,,,,,
,,2020 - 2021,446,236,0.53,,,,,,,,,
,,2021 - 2022,415,222,0.53,,,,,,,,,
,,2022 - 2023,304,170,0.56,,,,,,,,,
,18. Karimganj,2013 - 2014,32,14,0.44,,,,,,,,,
,,2014 - 2015,27,12,0.44,,,,,,,,,
,,2015 - 2016,25,12,0.48,,,,,,,,,
,,2016 - 2017,25,11,0.44,,,,,,,,,
,,2017 - 2018,21,6,0.29,,,,,,,,,
