State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,608,"1,173.00",1.93,,,,,,,,,
,,2020 - 2021,,,,619,"1,264.00",2.04,,,,,,,,,
,,2021 - 2022,,,,645,"1,294.00",2.01,,,,,,,,,
,,2022 - 2023,,,,664,"1,327.30",2,,,,,,,,,
,8. Kurung kumey,2013 - 2014,,,,53,74,1.4,,,,,,,,,
,,2014 - 2015,,,,53,74,1.4,,,,,,,,,
,,2015 - 2016,,,,156,"1,092.00",7,,,,,,,,,
,,2016 - 2017,,,,535,718.66,1.34,,,,,,,,,
,,2017 - 2018,,,,601,918.66,1.53,,,,,,,,,
,,2018 - 2019,,,,625,997.3,1.6,,,,,,,,,
,,2019 - 2020,,,,639,"1,213.00",1.9,,,,,,,,,
,,2020 - 2021,,,,650,"1,304.00",2.01,,,,,,,,,
,,2021 - 2022,,,,670,"1,335.33",1.99,,,,,,,,,
,,2022 - 2023,,,,691,"1,378.60",2,,,,,,,,,
,9. Leparada,2019 - 2020,,,,"3,521.00","5,649.00",1.6,,,,,,,,,
,,2020 - 2021,,,,"3,532.00","5,740.00",1.63,,,,,,,,,
,,2021 - 2022,,,,"3,612.00","6,002.66",1.66,,,,,,,,,
,,2022 - 2023,,,,"3,664.00","6,133.30",1.67,,,,,,,,,
,10. Lohit,2013 - 2014,,,,"12,150.00","21,662.00",1.78,,,,,,,,,
,,2014 - 2015,,,,"11,450.00","22,080.00",1.93,,,,,,,,,
,,2015 - 2016,,,,"4,655.00","8,804.00",1.89,,,,,,,,,
,,2016 - 2017,,,,"4,559.00","9,353.33",2.05,,,,,,,,,
,,2017 - 2018,,,,"4,607.00","9,515.33",2.07,,,,,,,,,
,,2018 - 2019,,,,"4,631.00","9,594.00",2.07,,,,,,,,,
,,2019 - 2020,,,,"4,645.00","9,810.00",2.11,,,,,,,,,
,,2020 - 2021,,,,"4,656.00","9,900.67",2.13,,,,,,,,,
,,2021 - 2022,,,,"4,736.00","10,040.00",2.12,,,,,,,,,
,,2022 - 2023,,,,"4,764.00","10,155.30",2.13,,,,,,,,,
,11. Longding,2013 - 2014,,,,"2,890.00","2,504.00",0.87,,,,,,,,,
,,2014 - 2015,,,,"2,890.00","2,923.00",1.01,,,,,,,,,
,,2015 - 2016,,,,"2,984.00","3,484.00",1.17,,,,,,,,,
,,2016 - 2017,,,,"2,984.00","4,817.33",1.61,,,,,,,,,
,,2017 - 2018,,,,"3,032.00","4,979.33",1.64,,,,,,,,,
,,2018 - 2019,,,,"3,056.00","5,058.00",1.66,,,,,,,,,
,,2019 - 2020,,,,"3,070.00","5,280.00",1.72,,,,,,,,,
,,2020 - 2021,,,,"3,080.00","5,371.33",1.74,,,,,,,,,
,,2021 - 2022,,,,"3,130.00","5,477.33",1.75,,,,,,,,,
,,2022 - 2023,,,,"3,154.00","5,545.30",1.76,,,,,,,,,
,12. Lower dibang valley,2013 - 2014,,,,"14,595.00","16,058.00",1.1,,,,,,,,,
,,2014 - 2015,,,,"13,906.00","16,479.00",1.19,,,,,,,,,
,,2015 - 2016,,,,"14,000.00","18,133.00",1.3,,,,,,,,,
,,2016 - 2017,,,,"14,640.00","20,800.00",1.42,,,,,,,,,
,,2017 - 2018,,,,"14,688.00","22,300.00",1.52,,,,,,,,,
,,2018 - 2019,,,,"14,712.00","22,496.60",1.53,,,,,,,,,
